Word,Pron,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy
colors,"k""V.l@`z",2,NN|VB,574.07,-0.76,125.1,29,0.91,604.96,-0.55,80.53,27,1
colossal,"k@.l""A.sl=",2,JJ,726.76,-0.06,275.97,29,0.88,661.46,-0.16,142.74,26,1
colonialist,"k@.l""o.ni@l.Ist",4,NN|JJ,986.13,0.66,495.3,31,0.97,952.95,0.91,253.73,19,0.79
colonials,"k@.l""o.ni@lz",4,NN,761.33,-0.15,214.95,33,0.97,838.19,0.41,237.56,27,0.96
colonialism,"k@.l""o.ni@l.%I.zm=",4,NN,806.3,0.18,393.64,33,1,836.95,0.54,239.64,21,0.78
colonies,"k""A.l@.niz",3,NN,747.31,-0.39,362.36,32,0.97,734.27,-0.01,121.05,26,1
colonist,"k""A.l@.nIst",2,NN,682.26,-0.3,214.69,34,1,744.74,0,161.64,27,1
colonists,"k""A.l@.nIsts",3,NN,751.09,-0.14,379.04,33,0.97,695.69,-0.01,182.04,26,1
colonize,"k""A.l@.naIz",2,VB,760.41,-0.1,341.24,34,1,713.07,-0.11,119.07,27,1
colonized,"k""A.l@.naIzd",3,VB,708.23,-0.2,192.59,31,0.97,734.36,-0.11,199.34,28,1
colonnade,"k%A.l@.n""ed",1,NN,975.4,0.58,526.43,15,0.47,938.38,0.92,298.61,21,0.81
colonnaded,"k%A.l@.n""e4.@d",2,JJ,1117.71,0.97,495.91,7,0.21,1181.25,1.78,316.29,12,0.6
colony,"k""A.l@.ni",2,NN,636.94,-0.5,181.44,34,1,674.15,-0.22,111.01,27,1
colony's,"k""A.l@.niz",3,encl,708.18,-0.29,157.18,33,1,773.39,0.25,317.09,28,0.97
color,"k""V.l@`",1,NN|VB,568.06,-0.78,156.18,34,1,565.48,-0.59,94.86,27,1
Colorado,"k%A.l@`.r""a.4o",1,NN,585.41,-0.66,131.31,34,1,630.67,-0.39,104.49,27,0.96
Colorado's,"k%Al@`""Adoz",NULL,NULL,684.45,-0.39,250.08,31,0.97,627.18,-0.32,116.4,28,1
coloration,"k%V.l@`.""e.Sn=",2,NN,996.03,0.71,334.21,29,0.91,888.77,0.71,205.75,26,0.96
colored,"k""V.l@`d",2,JJ|VB,642.35,-0.53,152.38,34,1,620.4,-0.47,86.33,25,1
colorful,"k""V.l@`.fl=",2,JJ,610.37,-0.54,229.17,35,1,594.43,-0.61,107.23,28,1
coloring,"k""V.l@`.IN",2,NN|VB,617.21,-0.6,143.03,34,1,694.36,-0.23,178.29,28,1
colorless,"k""V.l@`.l@s",2,JJ,696.65,-0.51,229.52,34,1,670.44,-0.33,129.73,27,1
Colosseum,"%kAl@""si@m",NULL,NN,850.97,0.35,334.39,30,0.88,783.71,0.29,146.46,21,0.81
colossus,"k@.l""A.s@s",2,NN,876.15,0.33,338.8,26,0.7,763.91,0.36,189.74,23,0.88
colt,"k""olt",1,NN,610.06,-0.5,168.12,35,1,624.59,-0.6,125.19,27,0.96
coltish,"k""olt.IS",2,JJ,987,0.63,357.03,9,0.28,831.17,0.44,187.64,23,0.96
colts,"k""olts",2,NN,631.76,-0.45,195.97,29,0.85,597.85,-0.51,81.52,27,0.96
colt's,"k""olts",NULL,NULL,655.67,-0.29,177.71,30,0.88,661.14,-0.28,86.42,28,1
Columbia,"k@.l""Vm.bi@",1,NN,738.91,-0.18,333.73,34,1,641.19,-0.42,119.14,27,1
Columbus,"k@.l""Vm.b@s",1,NN,636.5,-0.43,117.99,34,1,668.68,-0.27,141.79,25,1
column,"k""A.l@m",1,NN,649.06,-0.57,163.11,34,1,642.68,-0.42,113.02,28,1
columnist,"k""A.l@m.Ist",2,NN,661.53,-0.44,167.9,32,0.97,703.11,-0.1,177.88,27,1
columnists,"k""A.l@m.Ists",3,NN,825.44,0.04,450.78,32,0.94,680.92,-0.16,135.36,24,0.92
columns,"k""A.l@mz",2,NN,661.94,-0.47,256.19,32,0.97,661.81,-0.16,133.08,27,1
coma,"k""o.m@",1,NN,648.8,-0.52,217.22,30,0.88,645.93,-0.33,104.61,27,0.96
Comanche,"k@.m""an.tSi",1,NN,849.12,0.12,283.19,17,0.55,833.76,0.55,266.98,21,0.84
comas,"k""o.m@z",2,NN,840.17,0.13,466.77,30,0.91,607.14,-0.37,76.95,22,0.79
comb,"k""om",1,NN|VB,677.91,-0.54,286.3,33,0.97,606.74,-0.52,96.06,27,1
combat,"k""Am.bat",1,NN,635.7,-0.57,304.72,33,1,626.69,-0.43,167.15,29,1
combatant,"k@m.b""at.n=t",2,JJ|NN,974.41,0.36,474.36,22,0.73,794.1,0.11,244.61,20,0.8
combatants,"k@m.b""at.n=ts",3,NN,930.89,0.7,311.04,19,0.58,813.38,0.38,235.45,21,0.88
combating,"k@m.b""a4.IN",2,VB|NN|JJ,716.63,-0.18,236.71,32,0.94,737.04,-0.04,153.55,26,0.96
combative,"k@m.b""a4.Iv",2,JJ,915.1,0.43,304.85,30,0.88,872.4,0.47,229,25,0.89
combatted,"k@m.b""a4.@d",2,VB,854.5,0.31,255.55,26,0.81,740.67,0.1,146.86,27,0.96
combed,"k""omd",2,VB,768.45,-0.14,235.42,33,0.94,652.85,-0.32,121.14,27,1
combinable,"k@m.b""aIn.@.bl=",2,JJ,1067.4,0.84,422.49,15,0.48,965.06,1.03,216.51,18,0.78
combination,"k%Am.b@n.""e.Sn=",2,NN,700.18,-0.27,180.84,34,1,657.04,-0.26,142.13,28,1
combinations,"k%Am.b@n.""e.Sn=z",3,NN,812.76,-0.03,347.35,33,0.97,689.89,-0.13,191.19,27,1
combine,"k@m.b""aIn",1,VB,695.97,-0.4,397.91,33,0.97,666.46,-0.23,96.32,26,0.96
combined,"k@m.b""aInd",2,VB,611.03,-0.65,158.7,34,1,667.75,-0.22,163.74,28,1
combines,"k@m.b""aInz",2,VB,751,-0.23,343.89,30,0.91,744.58,0.09,362.09,26,0.93
combing,"k""om.IN",2,VB,720.03,-0.11,239.55,33,1,726.79,0.08,162.25,24,0.92
combining,"k@m.b""aIn.IN",2,VB,804.17,-0.05,269.42,29,0.88,812.82,0.22,248.34,28,1
combo,"k""Am.bo",1,NN,706.34,-0.42,344.44,32,0.94,622.78,-0.36,150.95,27,1
combs,"k""omz",2,NN|VB,595.55,-0.65,244.02,33,0.97,655.04,-0.31,92.72,28,1
combust,"k@m.b""Vst",1,VB,935.81,0.31,486.94,21,0.6,798.42,0.15,220.22,26,1
combustibles,"k@m.b""Vst.@.bl=z",3,NN,1022.84,0.86,363.13,25,0.76,927.42,0.78,171.46,24,0.96
combustion,"k@m.b""Vs.tS@n",2,NN,861.63,0.16,271.98,32,0.94,818.19,0.37,172.28,26,1
come,"k""Vm",1,VB|NN,630.12,-0.67,207.29,33,1,558.42,-0.73,89.77,26,0.96
comeback,"k""Vm.b%ak",2,NN,612.67,-0.61,218.95,33,0.97,639.11,-0.5,145.37,27,1
comedian,"k@.m""i.4i@n",2,NN,662.53,-0.46,252.87,32,0.97,701.42,-0.03,114.42,24,1
comedians,"k@.m""i.4i@nz",3,NN,725.29,-0.17,330.24,31,0.94,719.35,-0.13,176.18,26,1
comedies,"k""A.m@.4iz",2,NN,814.91,-0.04,328.44,32,1,829.54,0.24,332.73,26,0.96
comedown,"k""Vm.d%aUn",2,NN,833.89,0.12,397.42,28,0.85,762.19,0.02,155.07,27,1
comedy,"k""A.m@.4i",1,NN,604.97,-0.7,213.42,34,1,629.62,-0.41,163.98,26,1
comely,"k""Vm.li",1,JJ,846.28,0.31,276.43,18,0.55,722.57,0.03,183.57,21,0.81
comes,"k""Vmz",2,VB,710.85,-0.36,330.11,33,1,665.16,-0.31,209.66,25,1
comet,"k""A.m@t",1,NN,661.06,-0.3,162.92,32,0.94,642.14,-0.32,108.27,29,1
comets,"k""A.m@ts",2,NN,748.18,-0.16,270.17,34,0.97,714.39,-0.05,246.22,28,1
comfort,"k""Vm.f@`t",1,NN|VB,605.79,-0.7,201.11,34,1,634.84,-0.44,146.9,25,1
comfortable,"k""Vm.f@`4.@.bl=",2,JJ,789.47,-0.24,411.96,32,0.97,658.86,-0.3,134.81,28,1
comfortably,"k""Vm.f@`4.@.bli",3,RB,706.33,-0.3,229.21,33,1,691.4,-0.16,239.71,25,0.93
comforted,"k""Vm.f@`4.@d",2,VB|JJ,697.84,-0.38,262.32,31,0.97,732.25,-0.06,245.1,28,1
Comforter,"k""Vm.f@`4.@`",2,NN,829.67,0.15,276.54,30,1,747.43,0.09,211.84,23,1
comforting,"k""Vm.f@`4.IN",2,VB,720.41,-0.19,320.14,34,1,713.04,-0.17,193.74,26,0.96
comfortless,"k""Vm.f@`t.l@s",2,JJ,802.76,0.04,308.24,29,0.97,755.75,0.26,304.77,24,1
comforts,"k""Vm.f@`ts",2,NN|VB,685.88,-0.5,220.83,32,0.97,654.32,-0.38,241.14,25,1
comfy,"k""Vm.fi",1,JJ,707.27,-0.29,238.46,26,0.76,696.07,-0.27,177.89,27,0.96
comic,"k""A.mIk",1,JJ|NN,594.03,-0.65,114.29,34,1,593.52,-0.54,91.92,27,1
comical,"k""A.mIk.l=",2,JJ,675.43,-0.24,233.08,28,0.85,743.25,0,211.24,28,1
comically,"k""A.mIk.li",3,RB,893.85,0.3,403.9,26,0.87,748.65,0.14,201.5,26,1
comics,"k""A.mIks",2,NN,665.94,-0.36,192.49,32,0.94,626.59,-0.45,176.45,27,1
coming,"k""Vm.IN",2,VB|NN|JJ,624.63,-0.57,186.75,32,0.97,629.43,-0.42,121.34,28,1
comings,"k""Vm.INz",3,NN,715.38,-0.09,233.47,32,0.91,680.64,-0.23,203.44,25,1
comma,"k""A.m@",1,NN,752.48,-0.1,314.47,31,1,688.45,-0.22,232.36,20,0.8
command,"k@.m""and",2,NN|VB,590.38,-0.7,176.3,34,1,683.35,-0.26,132.75,26,1
commandant,"k""A.m@n.d%ant",3,NN,852.58,0.19,419.62,26,0.81,780.63,0.35,123.05,19,0.73
commanded,"k@.m""an4.@d",3,VB,742.42,-0.37,288.95,33,1,661.64,-0.17,136.41,25,1
commandeer,"k%A.m@nd.""Ir",3,VB,692.13,-0.19,166.99,24,0.75,892.5,0.65,246.03,18,0.75
commandeered,"k%A.m@nd.""Ird",4,VB|JJ,832.65,0.67,290.55,26,0.87,964.12,1.09,243.97,17,0.68
commandeering,"k%A.m@nd.""Ir.IN",4,VB|NN|JJ,1072.09,1.25,325.88,22,0.69,886.44,0.62,295.89,18,0.69
commander,"k@.m""an4.@`",3,NN,753.6,-0.23,280.99,30,0.94,662.88,-0.29,108.13,26,1
commanders,"k@.m""an4.@`z",4,NN,681.71,-0.43,225.62,34,1,754.12,0.05,186.16,26,1
commanding,"k@.m""an4.IN",3,VB|NN,674.27,-0.51,153.3,33,0.97,647.27,-0.26,112.77,26,1
commandment,"k@.m""and.m@nt",3,NN,850.48,0.05,383.73,29,0.91,728.48,0.1,248.8,23,0.96
commando,"k@.m""an4.o",3,NN,779.48,0.07,243.52,31,0.94,725.63,-0.02,172.18,27,1
commands,"k@.m""andz",3,NN|VB,635.94,-0.49,228.63,31,0.97,686.3,-0.3,154.97,27,1
command's,"k@.m""andz",3,encl,646.13,-0.39,163.57,32,0.94,641.57,-0.3,121.39,23,0.96
commemorate,"k@.m""E.m@`.ret",3,VB,982.92,0.71,301.57,26,0.87,906.88,0.94,256.63,25,1
commemorated,"k@.m""E.m@`.r%e4.@d",4,VB,1014.88,0.79,317.05,26,0.87,919.52,0.76,265.36,25,0.89
commemorates,"k@.m""E.m@`.rets",4,VB,822.77,0.37,222.49,22,0.71,985.78,0.97,384.19,18,0.75
commemorating,"k@.m""E.m@`.r%e4.IN",4,VB,1088.9,0.86,404.03,30,0.94,893,0.94,249.09,24,1
commence,"k@.m""Ens",1,VB,768.52,-0.18,307.07,33,0.97,776.62,0.13,159.81,26,0.96
commenced,"k@.m""Enst",2,VB,868.15,0.05,431.02,33,0.97,770.7,0.11,181.98,27,1
commencements,"k@.m""Ens.m@nts",3,NN,864.7,0.3,319.15,27,0.96,821.73,0.3,368.35,26,1
commencement,"k@.m""Ens.m@nt",2,NN,811.68,0.2,299.66,31,0.94,819.69,0.48,191.64,26,1
commemoration,"k@.m%E.m@`.r""e.Sn=",4,NN,979.28,1.13,297.18,25,0.78,1058.87,1,400.1,23,1
commences,"k@.m""Ens.@z",2,VB,866.9,0.33,244.02,29,0.88,736.14,0.33,131.08,22,0.92
commencing,"k@.m""Ens.IN",2,VB,822.07,0.04,238.23,29,0.85,834.72,0.4,269.92,25,1
commend,"k@.m""End",1,VB,696.94,-0.35,250.25,31,0.91,714.22,-0.01,126.2,27,0.96
commendable,"k@.m""En4.@.bl=",2,JJ,856.77,0.33,364.92,30,0.94,717.93,0.04,141.46,27,0.96
commendation,"k%A.m@nd.""e.Sn=",2,NN,796.82,0.15,330.5,28,1,736.21,0.32,186.02,19,0.83
commended,"k@.m""En4.@d",2,VB|JJ,692.36,-0.28,154.47,33,1,718.11,-0.07,117.74,27,1
commending,"k@.m""En4.IN",2,VB|NN,813,0.1,289.34,33,0.97,719.44,-0.16,118.99,25,0.96
commends,"k@.m""Endz",2,VB,631.2,-0.41,111.88,30,0.94,711.4,-0.11,154.18,25,0.96
commensurate,"k@.m""Ens.@`.r@t",3,JJ,846.2,0.47,343.5,20,0.63,830.12,0.44,192.85,17,0.77
comment,"k""A.mEnt",1,NN|VB,638.41,-0.57,229.98,34,1,713.54,0,212.83,26,0.96
commentaries,"k""A.m@nt.%E.riz",3,NN,920.78,0.33,338.25,27,0.9,872.48,0.5,303.34,25,0.96
commentary,"k""A.m@nt.%E.ri",2,NN,822,-0.04,345.14,33,0.94,758.68,0.2,236.87,28,1
commentate,"k""A.m@nt.et",2,VB,1059.08,1.05,473.76,24,0.83,929.41,0.76,264.76,22,0.92
commentator,"k""A.m@nt.%e4.@`",3,NN,881.94,0.3,295.13,33,1,756.63,0.36,184.82,27,0.96
commentators,"k""A.m@nt.%e4.@`z",4,NN,893.79,0.36,334.9,28,0.88,857.54,0.36,347.49,26,0.96
commented,"k""A.mEn4.@d",2,VB,708.81,-0.37,253.66,32,1,861.6,0.26,405.28,20,0.74
commenting,"k""A.mEn4.IN",2,VB,688.1,-0.2,173.96,30,0.91,730.48,-0.01,198.35,23,0.96
comments,"k""A.mEnts",2,NN|VB,618.47,-0.6,187.96,32,0.97,640.37,-0.45,112.09,27,1
commerce,"k""A.m3`s",1,NN,682.76,-0.35,207.4,34,1,807.52,0.19,220.79,21,0.91
commercial,"k@.m""3`.Sl=",2,JJ|NN,725.97,-0.35,322.09,34,1,704.93,-0.14,183.59,28,1
commitments,"k@.m""It.m@nts",4,NN,791.85,0.06,236.63,33,1,860.7,0.47,217.28,23,0.96
commercialism,"k@.m""3`.Sl=.%I.zm=",3,NN,924.9,0.35,331.41,30,0.88,728.9,0.14,127.22,21,0.88
commercialization,"k@.m%3`.Sl=.@z.""e.Sn=",4,NN,905.79,0.71,340.69,29,0.94,851.19,0.67,219.94,27,1
commercialize,"k@.m""3`.Sl=.aIz",3,VB,922.7,0.42,423.86,33,0.97,771.41,0.16,145.22,27,1
commercially,"k@.m""3`.Sl=.i",3,RB,773.48,0.09,256.04,33,0.97,736.46,0.14,135.02,28,1
commercials,"k@.m""3`.Sl=z",3,NN,697.1,-0.28,192.62,31,0.97,686.19,-0.06,106.56,27,1
commie,"k""A.mi",1,JJ|NN,945.7,0.45,438.61,10,0.29,855.62,0.47,277.98,21,0.81
commies,"k""A.miz",2,NN,1030,1.01,253.97,6,0.21,739.57,0.3,151.43,21,0.78
commingle,"k@.m""IN.gl=",2,VB,774.71,0.1,227.32,7,0.21,871.65,0.56,346.1,17,0.74
commingled,"k@.m""IN.gl=d",3,VB,889,0.77,268.05,5,0.15,866.29,0.7,235.14,17,0.68
commiserate,"k@.m""I.z@`.ret",3,VB,959.09,0.85,363.84,23,0.72,886,0.63,264.22,23,0.96
commiseration,"k@.m%I.z@`.r""e.Sn=",4,NN,1007.47,0.78,350.62,17,0.53,992,1.03,258.72,21,0.88
commissary,"k""A.m@.s%E.ri",3,NN,826.58,0.04,353.36,31,0.91,885.05,0.53,286.18,19,0.73
commission,"k@.m""I.Sn=",3,NN|VB,624.52,-0.49,143.63,33,0.94,674.19,-0.2,131.8,26,1
commissioned,"k@.m""I.Sn=d",4,VB,829.5,0.17,302.15,30,0.91,774.42,0.28,188.42,26,0.96
commissioners,"k@.m""I.Sn=.@`z",5,NN,880.03,0.21,318.25,32,0.91,783.75,0.13,189.06,24,1
commissioner's,"k@.m""I.Sn=.@`z",5,encl,779.32,0.04,224.84,31,0.97,727.4,0.19,140.92,25,0.96
commissions,"k@.m""I.Sn=z",4,NN|VB,775.97,-0.13,211.16,33,0.97,695.35,-0.23,152.75,26,1
commissioner,"k@.m""I.Sn=.@`",4,NN,835.32,0.14,264.16,31,0.94,694.62,-0.01,117.72,26,0.96
commission's,"k@.m""I.Sn=z",4,encl,768.29,0.03,193.98,28,0.88,831,0.39,279.11,27,1
commit,"k@.m""It",2,VB|NN,686.72,-0.41,218.54,29,0.91,705.48,-0.06,303.49,25,0.96
commitment,"k@.m""It.m@nt",3,NN,781.78,-0.06,343.89,32,1,659.89,-0.15,118.6,27,0.96
commits,"k@.m""Its",3,VB,802.97,-0.06,457.57,32,0.94,786.17,0.12,202,24,0.96
committal,"k@.m""I4.l=",3,NN,739.52,-0.04,250.34,25,0.76,751.33,0.15,170.12,24,0.86
committed,"k@.m""I4.@d",3,VB,581.67,-0.67,203.22,33,0.97,713.2,-0.17,282.53,25,1
committee,"k@.m""I.4i",3,NN,721.94,-0.18,287.37,34,1,668.32,-0.19,71.54,28,1
committeeman,"k@.m""I.4i.m%an",4,NN,1163.5,0.92,479.17,18,0.58,995.33,1.13,332.3,21,0.88
committeemen,"k@.m""I.4i.m@n",4,NN,1071,1.03,398.12,4,0.13,970.79,1.09,276.92,14,0.74
committees,"k@.m""I.4iz",4,NN,867.31,0.25,412.53,32,1,746.75,0.02,211.6,28,1
committee's,"k@.m""I.4iz",4,encl,800.56,-0.02,294.65,32,0.97,727.11,0.02,127.67,27,0.96
committeewomen,"k@.m""I.4i.w%I.mIn",4,NN,1075.71,1.32,248.42,21,0.7,1068.09,1.43,283.54,11,0.58
committeewoman,"k@.m""I.4i.w%U.m@n",4,NN,1184.5,1.34,378.95,20,0.74,1107.76,1.48,217.04,21,0.88
committing,"k@.m""I4.IN",3,VB,632.09,-0.46,166.6,34,1,670.48,-0.27,101.59,27,1
commode,"k@.m""od",1,NN,793.45,0.16,230.63,29,0.85,821.61,0.28,254.24,23,0.88
commodious,"k@.m""o.4i@s",2,JJ,1109.62,1.11,346.5,13,0.41,798.38,0.54,244.12,13,0.68
commodities,"k@.m""A.4@.4iz",3,NN,759.17,-0.22,383.28,30,0.88,794.23,0.19,181.62,26,0.96
commodity,"k@.m""A.4@.4i",2,NN,796.47,-0.01,452.65,30,0.94,850.08,0.25,192.59,26,0.96
commodore,"k""A.m@.dOr",1,NN,804.36,0.16,275.56,28,0.85,862.19,0.43,328.74,27,0.96
common,"k""A.m@n",1,JJ|NN,602.65,-0.71,147.65,31,1,622.08,-0.52,137.21,26,1
commoner,"k""A.m@n.@`",2,JJ|NN,890.42,0.3,373.76,24,0.71,825.12,0.59,271.67,25,0.96
commoners,"k""A.m@n.@`z",3,NN,811.71,0.14,310.27,24,0.75,801,0.33,241.34,26,0.96
commonest,"k""A.m@n.Ist",2,JJ,830.12,0.42,228.7,17,0.57,900.05,0.78,271.77,22,0.92
commonly,"k""A.m@n.li",2,RB,641.44,-0.35,152.66,34,1,646.3,-0.32,153.07,27,1
commonness,"k""A.m@n.n@s",2,NN,909.14,0.34,386.25,28,0.88,814.27,0.32,313.45,26,0.96
commonplace,"k""A.m@n.ples",2,JJ|NN,830.46,0.02,493.48,28,0.85,734.93,0,150.19,28,1
commonplaces,"k""A.m@n.pl%es.@z",3,NN,920.67,0.24,327.34,30,0.94,856.57,0.51,237.33,28,1
commons,"k""A.m@nz",2,NN,647.12,-0.46,182.36,34,1,656.52,-0.16,118.04,25,0.96
commonwealth,"k""A.m@n.w%ElT",2,NN,759.3,-0.09,188.73,33,1,678.63,-0.09,77.01,27,1
commonwealths,"k""A.m@n.w%ElTs",3,NN,861.55,0.42,303.17,31,0.91,783.78,0.24,187.06,27,1
commotion,"k@.m""o.Sn=",2,NN,810.63,0.12,309.4,30,0.88,724.42,0.01,170.28,26,1
communal,"k@.mj""un.l=",2,JJ,1023.45,0.71,378.22,20,0.61,823.09,0.46,251.1,22,0.92
commune,"k""A.mjun",1,NN,828.08,0.17,319.51,26,0.79,813.83,0.19,184.55,24,0.96
communes,"k""A.mjunz",2,NN,900.2,0.17,490.25,25,0.81,729.05,0.14,173.51,21,0.88
communicable,"k@.mj""u.n@.k@.bl=",3,JJ,809.15,-0.03,310.62,33,1,804.18,0.35,179.8,22,0.96
communicate,"k@.mj""u.n@.ket",3,VB,610.47,-0.56,128.52,32,0.97,757.36,0.06,169.67,28,1
communion,"k@.mj""u.ni@n",2,NN,795.9,0.09,275.67,31,0.91,781.7,0.38,186.07,23,0.96
communism's,"k""Amj@n%Iz@mz",NULL,NULL,922.61,0.58,274.05,28,0.97,868.71,0.54,265.5,21,0.91
communistic,"k%A.mj@n.""Ist.Ik",3,JJ,1134,0.85,548.51,26,0.79,790.33,0.3,163.81,15,0.65
communicated,"k@.mj""u.n@.k%e4.@d",4,VB,781.33,0.07,242.02,33,1,768.78,0.12,163.83,27,1
communicating,"k@.mj""u.n@.k%e4.IN",4,VB|NN,755.55,-0.13,200.14,33,0.97,750.56,0.12,192.3,27,1
communication,"k@.mj%u.n@.k""e.Sn=",4,NN,769.94,-0.13,265.5,33,1,716.73,0.06,156.35,26,0.96
communicational,"k@.mj%u.n@.k""e.Sn=.@l",5,JJ,969.97,0.74,284.03,33,0.97,996.88,0.95,330.97,24,0.92
communications,"k@.mj%u.n@.k""e.Sn=z",5,NN,722.44,-0.11,226.66,34,1,770.62,0.19,184.42,26,0.96
communicative,"k@.mj""u.n@.k%e4.Iv",4,JJ,848.6,0.44,255.09,30,0.91,753.84,0.15,219.93,25,1
communicator,"k@.mj""u.n@.k%e4.@`",4,NN,762.09,0.04,213.45,33,1,717.19,-0.04,153.25,26,1
communicators,"k@.mj""u.n@.k%e4.@`z",5,NN,840.5,0.2,311.47,34,1,708.96,-0.05,126.56,26,1
communicator's,"k@.mj""u.n@.k%e4.@`z",5,encl,777.35,0.18,217.34,34,1,784.13,0.46,240.97,23,1
communism,"k""A.mj@n.%I.zm=",2,NN,763.97,-0.12,216.74,31,0.94,869.7,0.91,322.52,20,0.83
communist,"k""A.mj@n.Ist",2,NN|JJ,784.55,-0.29,313.75,33,0.97,738.52,-0.07,149.87,27,1
communists,"k""A.mj@n.Ists",3,NN,755.92,-0.25,398.76,36,1,780,0.14,216.75,24,0.89
communities,"k@.mj""un.@.4iz",3,NN,733.61,-0.12,267.93,31,0.94,780.29,0.3,160.7,24,0.96
community,"k@.mj""un.@.4i",2,NN,678.56,-0.39,218.27,34,1,768.31,0.17,244.5,26,1
community's,"k@.mj""un.@.4iz",3,encl,849.03,0.17,337.56,32,0.94,736.78,0.11,176.49,23,1
communize,"""kAmj@%naIz",NULL,VB,837.29,0.2,295.02,28,0.9,854.88,0.68,133.89,17,0.63
comparing,"k@m.p""Er.IN",2,VB,673.29,-0.46,165.18,34,1,644.62,-0.35,144.36,26,1
comparisons,"k@m.p""a.rI.sn=z",3,NN,773.67,0,276.22,27,0.9,724.18,0.04,148.76,28,1
compartments,"k@m.p""Art.m@nts",2,NN,794.52,0.09,298.37,31,0.94,879.07,0.39,218.4,27,1
commutation,"k%A.mj@t.""e.Sn=",4,NN,1003.39,0.91,249.51,18,0.72,1071.53,1.2,360.69,15,0.75
commute,"k@.mj""ut",2,NN,677.24,-0.36,241.88,29,0.85,708.67,0.24,145.81,24,1
commuted,"k@.mj""u4.@d",3,VB,815.59,0.13,309.29,29,0.91,736.11,0.04,170.59,27,1
commuter,"k@.mj""u4.@`",3,NN,871.64,0.33,349.98,25,0.76,741.04,0.22,189.27,24,0.92
commutes,"k@.mj""uts",3,VB,822.08,0.13,258.71,26,0.81,784.8,0.28,264.41,20,1
commuting,"k@.mj""u4.IN",3,VB|NN,849.94,0.11,292.69,31,0.97,795.08,0.32,321.1,24,0.92
compact,"k""Am.pakt",1,JJ|NN,614.85,-0.58,162.66,34,1,708.11,-0.27,277.77,28,1
compactly,"k""Am.pakt.li",2,RB,924.33,0.34,373.14,30,0.94,851.17,0.57,242.45,24,0.89
compacts,"k""Am.pakts",2,NN,715.3,-0.35,281.18,33,0.97,652.35,-0.41,131.58,26,0.93
companies,"k""Vm.p@.niz",3,NN,650.88,-0.48,157.62,33,0.97,667.12,-0.39,109.1,26,1
companion,"k@m.p""a.nj@n",2,NN,680.35,-0.24,179.81,34,1,755.56,0,156.04,27,1
companions,"k@m.p""a.nj@nz",3,NN,672.88,-0.38,303.46,33,0.97,700.62,-0.11,156.6,26,0.96
company,"k""Vm.p@.ni",2,NN,582.36,-0.62,124.76,33,0.97,618.65,-0.36,107.05,26,1
companionable,"k@m.p""a.nj@n.@.bl=",3,JJ,935.17,0.77,289.9,24,0.75,1015.5,0.95,280.73,18,0.82
companionship,"k@m.p""a.nj@n.S%Ip",3,NN,988.84,0.33,439.3,32,0.94,842.73,0.33,333.95,26,0.96
company's,"k""Vm.p@.niz",3,encl,624.53,-0.59,240.15,30,0.97,629.57,-0.47,87.92,28,1
comparable,"k""Am.p@`.@.bl=",2,JJ,705.12,-0.24,246.7,33,0.97,733.21,0.07,183.31,24,0.89
compare,"k@m.p""Er",1,VB,666.09,-0.42,213.15,34,1,663.63,-0.23,126.21,27,1
compared,"k@m.p""Erd",2,VB,629.65,-0.54,166.4,34,1,621.29,-0.35,124.74,28,1
compares,"k@m.p""Erz",2,VB,614.87,-0.53,261.06,31,1,710.3,-0.19,226.17,27,1
comparative,"k@m.p""ar.@.4Iv",2,JJ,820.86,0.17,313.08,35,1,809.46,0.29,159.7,24,1
comparatively,"k@m.p""ar.@.4Iv.li",3,RB,820.45,0.21,296.73,33,0.97,827.04,0.49,201.15,26,0.96
comparison,"k@m.p""a.rI.sn=",2,NN,770.86,0.02,260.26,35,1,722.07,-0.19,139.02,28,1
compartment,"k@m.p""Art.m@nt",1,NN,822.94,0.01,292.24,31,0.91,745.29,0.16,264.51,24,0.96
compartmental,"k@m.p%Art.m""En4.l=",2,JJ,1089.03,0.81,430.76,31,0.91,985.14,1.06,237.73,22,0.81
compartmentalize,"k@m.p%Art.m""En4.l=.aIz",3,VB,1021.25,1.17,328.62,20,0.74,923.1,1.17,248.5,21,0.88
compass,"k""Vm.p@s",1,NN|VB,670.64,-0.56,175.61,33,0.94,655.28,-0.32,164.99,25,0.93
compassion,"k@m.p""a.Sn=",3,NN,734.94,-0.22,392.52,32,0.97,674.36,-0.13,150.81,28,1
compassionate,"k@m.p""a.Sn=.@t",4,JJ,754.44,0.08,227.68,34,1,750.63,0.11,209.43,27,1
compassionately,"k@m.p""a.Sn=.@t.li",5,RB,855.67,0.21,316.28,33,1,798.04,0.18,146.92,27,1
compatibility,"k@m.p%a.4@.b""Il.@.4i",2,NN,1012.67,0.37,589.64,30,0.94,809.96,0.26,173.25,28,1
compatible,"k@m.p""a.4@.bl=",1,JJ,712.24,-0.2,215.2,33,0.97,692,0.01,137.27,27,1
compatriot,"k@m.p""e.tri@t",3,NN,1008.68,0.61,377.68,19,0.58,931.84,0.81,257.79,19,0.83
